"ID",MICROCONTROLER,COMPONENT,How to wire?,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3
16,ARDUINO,NRF24L01 Wireless Transceiver,This module uses the standard SPI interface for communication. These are configurations for Arduino Nano and Arduino UNO. MISO connects to pin 12. MOSI connects to pin 11. SCK connects to pin 13. CE connects to pin 9. CSN connects to pin 10. GND connects to GND. VCC is connected to 3.3V.,,,,
17,ARDUINO,L298N Motor Driver,"Firstly, Connect your Motors with L298n Motor Driver. Then connect your L298n Pins with Arduino Pins: Connect L298n (+5V) pin to the Arduino 5V pin. Connect L298n (Gnd) pin to the Arduino GND pin. Then connect Battery: Connect L298n (+12V) pin to Battery (+ve). Connect L298n (Gnd) pin to Battery (-ve).    ",,,,
18,ARDUINO,ILI9341 Display,Connect the display using SPI communication. CS pin is connected to Arduino digital pin 8. RST pin is connected to Arduino digital pin 9. D/C pin is connected to Arduino digital pin 10. MOSI pin is connected to Arduino digital pin 11. SCK pin is connected to Arduino digital pin 13. VCC pin is connected to Arduino 5V pin. GND pin is connected to Arduino GND pin. BL (LED) pin is connected to Arduino 5V pin. MISO pin is not connected.,,,,
19,ARDUINO,MPU6050 Gyroscope and Accelerometer:,These are connections for Arduino UNO and Arduino Nano. Connect SCL module pin to A5 pin. Connect SDA module pin to A4 pin. Connect VCC module pin to 5V. Connect GND to GND.,,,,
20,ARDUINO,Matrix Keypad 4x4,"The connection is quite straightforward, as the Arduino connections are made in the same order as the keypad connector. Begin by connecting keypad pin 1 to Arduino digital pin 9. And continue doing the same with the subsequent pins (2 to 8, 3 to 7, and so on). The most convenient way to connect everything is to use an 8-pin male-to-male Dupont ribbon cable.",,,,
21,ARDUINO,PN532 NFC Module,Connect using I2C communication. Connect GND (Ground) to GND. Connect VCC to 5V. Connect SDA to A4 pin. Connect SCL to A5 pin.,,,,
22,ARDUINO,NEO-6M GPS Module,Connect the VCC pin to the 5V pin on the arduino. Connect GND to GND. Connect the Tx pin on the module to digital pin 2. Connect the Rx pin on the module to digital pin 3. ,,,,
23,ARDUINO,RC522 RFID Module,Connect using SPI communication. These are configurations for Arduino Nano and Arduino UNO. Connect SDA to Arduino pin 10. Connect SCK to Arduino pin 13. Connect MOSI to Arduino pin 11. Connect MISO to Arduino pin 12. IRQ is not connected. RST is connected to pin 9. GND is connected to GND. 3.3V is connected to 3.3V. ,,,,
24,Raspberry Pi Pico,LED,Attach the positive leg (the one with the resistor) to GP13. Attach the negative leg to the closest GND pin,,,,
25,Raspberry Pi Pico,Resistor,Resistors can be connected between GPIO pins and ground or between GPIO pins to modify voltage levels as needed.,,,,
26,Raspberry Pi Pico,Pushbutton,Connect one end of the pushbutton to a GPIO pin on the Raspberry Pi Pico and the other end to ground (GND). Use a pull-up or pull-down resistor to maintain the input state.,,,,
27,Raspberry Pi Pico,Joystick,"Wire the joystick’s 5 pins to the Pico as follows: Connect GND to GND (Any GND pin). Connect +5V to 3V3 Out (physical pin 36). Yes, a 5V joystick will work with the 3V3 power of Pico. Connect VRx to GP27 / ADC1 (physical pin 32). Connect VRy to GP26 / ADC0 (physical pin 31). Connect SW to GP16 (physical pin 21). This would work with most of the GPIo pins.",,,,
28,Raspberry Pi Pico,Buzzer,Connect Connect the longer end (+) of the buzzer to GP11 (=GPIO 11). Connect the shorter end (-) of the buzzer to a GND (ground) pin.,,,,
29,Raspberry Pi Pico,Potentiometer,Connect the labelled with a small 1 to the GND pin between GP21 and GP22. Connect the middle pin the GP26_A0. This is an analogue pin. Connect pin labelled with a small 3 to the 3V3 pin.,,,,
30,Raspberry Pi Pico,Photoresistor (LDR),Connect one end of the LDR to GP27 (=GPIO 27 or ADC1). Connect the other to GND through a resistor to form a voltage divider.,,,,
31,Raspberry Pi Pico,7-Segment Display,Connect the following pins from the 7-segment display to the Raspberry Pi Pico: VCC pin to 3V3. GND pin to GND. CLK pin to GP16 on the Pico (last pin on the right side). DIO pin to GP17 on the Pico (next-to-last pin on the right side).,,,,
32,Raspberry Pi Pico,Liquid Crystal Display (LCD) I2C,"Connect SDA to I2C0 SDA (GP0, Physical pin 1). Connect SCK / SCL to I2C0 SCL (GP1, Physical pin 2).  Connect VDD / VCC to VBUS on the Pico. Warning this is a 5V pin. Connect GND to GND.",,,,
33,Raspberry Pi Pico,SSD1306 OLED display,The SDA pin of the OLED Display Module is connected to the GPIO16(Pin21). The SCL pin is connected to the GPIO17(Pin22). The VCC pin is connected to the 3.3v on Raspberry Pi Pico. GND is connected to GND.,,,,
34,Raspberry Pi Pico,Relay,Connect Relay IN to Raspberry Pi Pico GPIO 16 pin. Connect VCC to 3.3V pin. Connect GND to GND pin.,,,,
35,Raspberry Pi Pico,Servo motor,Connect Signal Pin of the Servo Motor to GP0 pin. Connect VCC to 3.3V. Connect GND to GND.,,,,
36,Raspberry Pi Pico,HC-SR04 Ultrasonic Sensor, Connect the Trigger pin of the ultrasonic sensor to GPIO pin 3 of the Raspberry Pi Pico.  Connect the Echo pin from the ultrasonic sensor to GPIO pin 2. Connect VCC to 3.3V pin. Connect GND to GND pin.,,,,
37,Raspberry Pi Pico,DHT11 Temperature and Humidity Sensor,Connect data to GPIO28 pin. Connect VCC to 3.3V. Connect GND to GND.,,,,
38,Raspberry Pi Pico,Micro SD Card Module:,This module works on SPI Communication protocol. Connect MISO to GP4 pin. Connect MOSI to GP3 pin. Connect SCK to GP2 pin. Connect CS to GP1 pin. Connect VCC to 3.3V pin. Connect GND to GND pin.,,,,
39,Raspberry Pi Pico,NRF2401 Wireless Transceiver,VCC (nRF24L01) to 3.3V output (Raspberry Pi Pico). GND (nRF24L01) to GND (Raspberry Pi Pico). Connect SCK (nRF24L01) to GP6 (Raspberry Pi Pico) pin. Connect MOSI (nRF24L01) to GP7 (Raspberry Pi Pico) pin. Connect MISO (nRF24L01) to GP4 (Raspberry Pi Pico) pin. IRQ (nRF24L01) is not connected.  Connect CE (nRF24L01) to GP12 (Raspberry Pi Pico) pin. Connect CSN (nRF24L01) to GP5 (Raspberry Pi Pico) pin.,,,,
40,Raspberry Pi Pico,SEN18 Water Sensor,"Connect the analog output pin to an ADC pin. Supply VCC and GND with 3.3V and ground, respectively.",,,,
41,Raspberry,L298N Motor Driver,"Firstly, Connect your Motors with L298n Motor Driver. Then connect your L298n Pins with Raspberry Pi pico Pins: Connect ENA to GPIO-0 pin. Connect  IN1 to GPIO-1 pin. Connect IN2 to GPIO-2 pin. Connect IN3 to GPIO-3 pin. Connect IN4 to GPIO-4 pin. Connect ENB to GPIO-5 pin.Connect GND to GND. Connect L298N module to Battery as follows: VCC to +Ve(Red terminal). GND to -Ve(Black Terminal).",,,,
42,Raspberry,ILI9341 Display,Connect the display using SPI communication. Connect VCC to 3.3V pin. Connect GND to GND pin. Connect SCK to SPI0SCK(Pin 4). Connect MISO to SPI0TX (Pin 5). Connect MOSI to SP0RX (Pin 6). Connect  RES (This display doesn´t have a CS Pin) to SPI0CS (Pin7). Connect DC to pin 9. Connect BLK to pin 10.,,,,
43,Raspberry,MPU6050 Gyroscope and Accelerometer,Connect the module using I2C communication. Connect VCC to 3.3V pin. Connect GND to GND pin. Connect SDA to GP0 pin. Connect SCL to GP1 pin.,,,,
44,Raspberry,Matrix Keypad 4x4,Connect 1 to GP1 pin. Connect 2 to GP2 pin. Connect 3 to GP3 pin. Connect 4 to GP4 pin. Connect 5 to GP5 pin. Connect 6 to GP6 pin. Connect 7 to GP7 pin. Connect 8 to GP8 pin.,,,,
45,Raspberry,PN532 NFC Module,Connected using I2C communication. Connect GND to GND pin. Connect VCC to 3.3V pin. Connect SDA to GPIO-3 pin. Connect SCL to GPIO-5 pin.,,,,
46,Raspberry, RC522 RFID Module,Connected using SPI communication. Connect RST to GP0 pin. IRQ not connected. Connect MISO to GP4 pin. Connect MOSI to GP3 pin. Connect SCK to GP2 pin. Connect SDA to GP1 pin. Connect VCC to 3.3V pin. Connect GND to GND pin.,,,,
47,Raspberry,NEO-6M GPS Module,Connect GPS VCC to Pico 3.3V pin for power. Connect GPS GND to Pico GND pin for ground reference. Connect GPS TX to Pico GP5  pin for receiving data. Connect GPS RX to Pico GP4  pin for transmitting data.,,,,
48,ESP32,LED,Connect the longer leg (anode) to a digital GPIO pin on the ESP32 using resistor and the shorter leg (cathode) to a current-limiting resistor and then to ground (GND).,,,,
49,ESP32,Resistor,Resistors can be connected between GPIO pins and ground or between GPIO pins to modify voltage levels as needed.,,,,
50,ESP32,Pushbutton,Connect one end of the pushbutton to a digital GPIO pin on the ESP32 and the other end to ground (GND). Use a pull-up or pull-down resistor to maintain the input state.,,,,
51,ESP32,Joystick,Connect GND to GND pin. Connect VCC to 3.3V. Connect VRX to GPIO-36 pin. Connect VRY to GPIO-39 pin. Connect SW to GPIO-17 pin.,,,,
52,ESP32,Buzzer,Connect one pin to a digital GPIO pin on the ESP32 for generating sound and the other to ground (GND).,,,,
53,ESP32,Potentiometer,Connect the VCC to 3.3V or 5V. Connect GND to GND pin. Connect the wiper (middle leg) to an ADC pin ( for example: GPIO-33pin) for reading the variable resistance.,,,,
54,ESP32,Photoresistor (LDR),"Connect one of the pins of the photoresistor to a 10kΩ resistor. Then connect the same end to pin D2 on the ESP32 board. Connect the free-end of the resistor to the GND pin. Then, connect the free-end of the photoresistor to the 3.3V pin.",,,,
55,ESP32,7-Segment Displays,Connect GND to GND pin. Connect VCC to 5V. Connect SCLK to GPIO-25. Connect RCLK to GPIO-26. Connect DIO to GPIO-27.,,,,
56,ESP32,Liquid Crystal Display (LCD),Connect the display using I2C communication. Connect GND to GND. Connect VCC to 5V. Connect the SDA pin to the ESP32’s GPIO-21 pin. Connect SCL pin to the ESP32’s GPIO-22 pin.,,,,
57,ESP32,SSD1306 OLED display,Connect the display using I2C communication. Connect GND to GND. Connect VCC to 5V. Connect the SDA pin to the ESP32’s GPIO-21 pin. Connect SCL pin to the ESP32’s GPIO-22 pin.,,,,
58,ESP32,Relay,Connect GND to GND pin. Connect VCC to 5V. Connect IN to GPIO-16 pin.,,,,
59,ESP32,Servo motor,Connect GND to GND pin. Connect VCC to 5V. Connect Signal to digital GPIO pin ( for example GPIO-26 pin).,,,,
60,ESP32,HC-SR04 Ultrasonic Sensor,Connect GND to GND pin. Connect VCC to 5V. Connect the trigger and echo pins to separate digital GPIO pins. ( for example trigger to GPIO-5 and echo to GPIO-18 pin),,,,
61,ESP32,DHT11 Temperature and Humidity Sensor,Connect GND to GND pin. Connect VCC to 3.3V. Connect data pin to any digital GPIO pin ( for example GPIO-4 pin) using 10k Ohm pull-up resistor.,,,,
62,ESP32,Micro SD Card Module,This module works on SPI Communication protocol. Connect MISO to GPIO-13 pin. Connect MOSI to GPIO-12 pin. Connect SCK to GPIO-14 pin. Connect CS to GPIO-27 pin. Connect VCC to 5V pin. Connect GND to GND pin.,,,,
63,ESP32,NRF2401 Wireless Transceiver,Connect GND to GND pin. Connect VCC to VCC 3.3V pin. Connect IRQ to GPIO-17 pin. Connect CE to GPIO-16 pin. Connect MOSI to MOSI (GPIO-23 or GPIO-13 pin). Connect MISO to MISO (GPIO-19 or GPIO-12 pin).  Connect SS to SS (GPIO-15 or GPIO-5 pin).,,,,
64,ESP32,ILI9341 Display,Connect the display using SPI communication. Connect GND to GND pin. Connect VCC to 3.3V pin. Connect MISO to GPIO-19 pin. Connect MOSI to GPIO-23 pin. Connect SCK to GPIO-18 pin. Connect D/C to GPIO-21 pin. Connect CS to GPIO-22 pin. Connect Reset to GPIO-17 pin.,,,,
65,ESP32,MPU6050 Gyroscope and Accelerometer,Connect the SDA line of MPU6050 to GPIO-7 pin on ESP32. Connect SCL to GPIO-8 pin. Connect  GND to GND pin. Connect VCC to 3V3 pin. The other pins of MPU6050 need not be connected.,,,,
66,ESP32,Matrix Keypad 4x4,"Connect each row and column to separate digital GPIO pins ( for example GPIO-2,  GPIO-0,  GPIO-4,  GPIO-16,  GPIO-17,  GPIO-5,  GPIO-18,  GPIO-19 pins).",,,,
67,ESP32,PN532 NFC Module,This module uses I2C communication. Connect GND to GND pin. Connect VCC to 3.3V pin. Connect SCL to GPIO-22 pin. Connect SDA to GPIO-21 pin.,,,,
68,ESP32, RC522 RFID Module,This module uses SPI communication. Connect GND to GND pin. Connect VCC to 3.3V pin. Connect RST to GPIO-0 pin. Connect MISO to GPIO-19 pin. Connect MOSI to GPIO-23 pin. Connect CSK to GPIO-18 pin. Connect SDA to GPIO-5 pin. ,,,,
69,ESP32,NEO-6M GPS Module,This module uses UART communication. Connect GND to GND pin. Connect VCC to 3.3V pin. Connect TX to GPIO-1 pin. Connect RX to GPIO-3 pin.,,,,
70,ESP32,SEN18 Water Sensor,Connect GND to GND pin. Connect VCC to 3.3V or 5V pin. Connect the Signal pin to an analog pin on ESP32 ( for example GPIO-35 pin).,,,,
71,ESP32,L298N Motor Driver,Connect GPIO-18 pin of the ESP32 board to pin ENA of the L298N module. Connect GPIO-5 pin of the ESP32 board to pin IN1 of the L298N module. Connect GPIO-4 pin of the ESP32 board to pin IN2 of the L298N module. Connect the GND pin of the ESP32 board to the GND pin of the L298N module.  Connect the GND pin of the ESP32 board to the (-) terminal of the 9V battery. Connect the 12V pin of L298N module to the (+) terminal of battery. Connect the two motor terminals to the two pins OUT1 and OUT2 of the L298N module,,,,
